genes,aliases
UCHL5,"['Ubiquitin carboxyl-terminal hydrolase isozyme L5', 'UCH-L5', 'CGI-70', 'INO80 complex subunit R', 'EC 3.4.19.12']"
UCK1,"['Cytidine monophosphokinase 1', 'UCK 1', 'FLJ12255', 'EC 2.7.1.48']"
UCK2,"['Cytidine monophosphokinase 2', 'TSA903', 'UCK 2', 'Testis-specific protein TSA903', 'EC 2.7.1.48']"
UCKL1,"['uridine-cytidine kinase 1 like 1', 'FLJ20517', 'UCK1-LIKE', 'EC 2.7.1.48']"
UCMA,"['upper zone of growth plate and cartilage matrix associated', 'GRP/UCMA', 'Unique cartilage matrix-associated protein', 'chromosome 10 open reading frame 49', 'C10orf49']"
UCN,"['urocortin, preproprotein', 'Urocortin']"
UCN2,"['Urocortin-related peptide', 'Urocortin II', 'URP', 'Stresscopin-related peptide']"
UCN3,"['prepro-urocortin 3', 'Urocortin III', 'Stresscopin']"
UCP1,"['uncoupling protein 1 (mitochondrial, proton carrier)', 'SLC25A7', 'UCP 1', 'Solute carrier family 25 member 7', 'Thermogenin']"
UCP2,"['uncoupling protein 2 (mitochondrial, proton carrier)', 'SLC25A8', 'body mass index quantitative trait 4', 'BMIQ4', 'UCP 2', 'Solute carrier family 25 member 8']"
UCP3,"['uncoupling protein 3 (mitochondrial, proton carrier)', 'SLC25A9', 'Solute carrier family 25 member 9', 'UCP 3']"
UEVLD,"['EV and lactate/malate dehydrogenase domain-containing protein', 'ATTP', 'UEV-3', 'Ubiquitin-conjugating enzyme E2 variant 3']"
UFC1,"['Ubiquitin-fold modifier-conjugating enzyme 1', 'HSPC155', 'NEDSG']"
UFD1,"['Ubiquitin recognition factor in ER-associated degradation protein 1', 'UFD1L']"
UFL1,"['E3 UFM1-protein transferase 1', 'NLBP', 'MAXER', 'RCAD', 'Multiple alpha-helix protein located at ER', 'Regulator of C53/LZAP and DDRGK1', 'KIAA0776', 'EC 2.3.2.-']"
UFM1,"['Ubiquitin-fold modifier 1', 'bA131P10.1', 'chromosome 13 open reading frame 20', 'BM-002', 'C13orf20', 'HLD14']"
UFSP1,"['UFM1-specific peptidase 1 (non-functional)', 'UfSP1']"
UFSP2,"['UFM1 specific peptidase 2', 'FLJ11200', 'chromosome 4 open reading frame 20', 'C4orf20', 'SEMDDR', 'UfSP2', 'EC 3.4.22.-']"
UGCG,"['UDP-glucose:N-acylsphingosine D-glucosyltransferase', 'GLCT-1', 'EC 2.4.1.80']"
UGDH,"['uridine diphospho-glucose dehydrogenase', 'EIEE84', 'UDP-GlcDH', 'UDP-glucose 6-dehydrogenase', 'UDP-Glc dehydrogenase', 'EC 1.1.1.22']"
UGGT1,"['UDP-glucose ceramide glucosyltransferase-like 1', 'UGCGL1', 'HUGT1', 'EC 2.4.1.-']"
UGGT2,"['UDP-glucose ceramide glucosyltransferase-like 1', 'FLJ10873', 'UGCGL2', 'MGC117360', 'MGC87276', 'EC 2.4.1.-']"
UGP2,"['UTP--glucose-1-phosphate uridylyltransferase 2', 'UGPase 2', 'EIEE83', 'UDPGP2', 'pHC379', 'UDP-glucose pyrophosphorylase 2', 'testis tissue sperm-binding protein Li 58p', 'EC 2.7.7.9']"
UGT1A1,"['UDP glucuronosyltransferase 1 family, polypeptide A1', 'UDPGT 1-1', 'BILIQTL1', 'UDP-glucuronosyltransferase 1-1', 'bilirubin UDP-glucuronosyltransferase isozyme 1', 'EC 2.4.1.17']"
UGT1A10,"['UDP glucuronosyltransferase 1 family, polypeptide A10', 'UDPGT 1-10', 'Bilirubin-specific UDPGT isozyme 1', 'UDP-glucuronosyltransferase 1-10', 'EC 2.4.1.17']"
UGT1A3,"['UDP glucuronosyltransferase 1 family, polypeptide A3', 'UDPGT 1-3', 'UDP-glucuronosyltransferase 1-3', 'EC 2.4.1.17']"
UGT1A4,"['UDP glucuronosyltransferase 1 family, polypeptide A4', 'HUG-BR2', 'UDPGT 1-1', 'UDP-glucuronosyltransferase 1-4', 'bilirubin UDP-glucuronosyltransferase isozyme 2', 'UDP-glucuronosyltransferase 1-1', 'EC 2.4.1.17']"
UGT1A5,"['UDP glucuronosyltransferase 1 family, polypeptide A5', 'UDPGT 1-5', 'UDP-glucuronosyltransferase 1-5', 'EC 2.4.1.17']"
UGT1A6,"['UDP glucuronosyltransferase 1 family, polypeptide A6', 'hUG-BR1', 'UDPGT 1-6', 'UGT1-01', 'UDP-glucuronosyltransferase 1-6', 'Bilirubin-specific UDPGT isozyme 1', 'EC 2.4.1.17']"
UGT1A7,"['UDP glucuronosyltransferase 1 family, polypeptide A7', 'UDPGT 1-7', 'UDP-glucuronosyltransferase 1-7', 'Bilirubin-specific UDPGT isozyme 1', 'EC 2.4.1.17']"
UGT1A8,"['UDP glucuronosyltransferase 1 family, polypeptide A8', 'UDPGT 1-1', 'UDP-glucuronosyltransferase 1-1', 'UDP-glucuronosyltransferase 1-8', 'Bilirubin-specific UDPGT isozyme 1', 'EC 2.4.1.17']"
UGT1A9,"['UDP glucuronosyltransferase 1 family, polypeptide A9', 'HLUGP4', 'UDPGT 1-9', 'UDP-glucuronosyltransferase 1-9', 'EC 2.4.1.17']"
UGT2A1,"['UDP glucuronosyltransferase 2 family, polypeptide A1, complex locus', 'UDP-glucuronosyltransferase 2A1', 'EC 2.4.1.17']"
UGT2A2,"['UDP glucuronosyltransferase 2 family, polypeptide A2', 'UDP-glucuronosyltransferase 2A2', 'EC 2.4.1.17']"
UGT2A3,"['UDP glucuronosyltransferase 2 family, polypeptide A3', 'FLJ21934', 'UDP-glucuronosyltransferase 2A3', 'EC 2.4.1.17']"
UGT2B10,"['UDP glucuronosyltransferase 2 family, polypeptide B10', 'UDP-glucuronosyltransferase 2B10', 'EC 2.4.1.17']"
UGT2B11,"['UDP glucuronosyltransferase 2 family, polypeptide B11', 'UDP-glucuronosyltransferase 2B11', 'EC 2.4.1.17']"
UGT2B15,"['uridine diphosphate glucuronosyltransferase 2 family, member B8', 'UDPGT 2B15', 'HLUG4', 'UDP-glucuronosyltransferase 2B8', 'UDP-glucuronosyltransferase UGT2B15', 'EC 2.4.1.17']"
UGT2B17,"['UDP glucuronosyltransferase 2 family, polypeptide B17', 'BMND12', 'UDP-glucuronosyltransferase 2B17', 'C19-steroid-specific UDP-glucuronosyltransferase', 'EC 2.4.1.17']"
UGT2B28,"['UDP glucuronosyltransferase 2 family, polypeptide B28', 'UDP-glucuronosyltransferase 2B28', 'EC 2.4.1.17']"
UGT2B4,"['UDP glucuronosyltransferase 2 family, polypeptide B4', 'UDPGT 2B4', 'UDPGT2B4', 'UDP-glucuronosyltransferase 2B4', 'Hyodeoxycholic acid-specific UDPGT', 'EC 2.4.1.17']"
UGT2B7,"['UDP glucuronosyltransferase 2 family, polypeptide B7', 'UDPGT 2B7', 'UDP-glucuronosyltransferase 2B7', 'UDP-glucuronosyltransferase 2B9', '3,4-catechol estrogen-specific UDPGT', 'EC 2.4.1.17']"
UGT3A1,"['UDP glycosyltransferase 3 family, polypeptide A1', 'FLJ34658', 'UDP-glucuronosyltransferase 3A1', 'EC 2.4.1.17']"
UGT3A2,"['UDP glycosyltransferase 3 family, polypeptide A2', 'UDP-glucuronosyltransferase 3A2', 'EC 2.4.1.17']"
UGT8,"['2-hydroxyacylsphingosine 1-beta-galactosyltransferase', 'UGT4', 'UDP-galactose ceramide galactosyltransferase', 'EC 2.4.1.47']"
UHMK1,"['Serine/threonine-protein kinase Kist', 'P-CIP2', 'kinase interacting with leukemia-associated gene (stathmin)', 'PAM COOH-terminal interactor protein 2', 'EC 2.7.11.1']"
UHRF1,"['Ubiquitin-like-containing PHD and RING finger domains protein 1', 'ICBP90', 'HuNp95', 'FLJ21925', 'RING finger protein 106', 'TDRD22', 'RNF106', 'Inverted CCAAT box-binding protein of 90 kDa', 'Nuclear zinc finger protein Np95', 'EC 2.3.2.27']"
UHRF1BP1,"['Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1', 'FLJ20302', 'dJ349A12.1', 'ICBP90', 'chromosome 6 open reading frame 107', 'C6orf107']"
UHRF1BP1L,"['Syntaxin-6 Habc-interacting protein of 164 kDa', 'KIAA0701', 'SHIP164']"
UHRF2,"['ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase', 'RING finger protein 107', 'NIRF', 'MGC33463', 'TDRD23', 'Ubiquitin-like-containing PHD and RING finger domains protein 2', 'Np95/ICBP90-like RING finger protein', 'EC 2.3.2.27']"
UIMC1,"['Ubiquitin interaction motif-containing protein 1', 'X2HRIP110', 'BRCA1-A complex subunit RAP80']"
ULBP1,"['UL16 binding protein 1', 'RAET1I', 'NKG2D ligand 1', 'ALCAN-beta', 'Retinoic acid early transcript 1I']"
ULBP2,"['UL16 binding protein 2', 'RAET1H', 'ALCAN-alpha', 'NKG2D ligand 2', 'Retinoic acid early transcript 1H']"
ULBP3,"['UL16 binding protein 3', 'RAET1N', 'NKG2D ligand 3', 'ALCAN-gamma', 'Retinoic acid early transcript 1N']"
ULK1,"['ATG1 autophagy related 1 homolog (S. cerevisiae)', 'ATG1A', 'unc-51 like autophagy activating kinase 1', 'Unc51.1', 'Unc-51-like kinase 1', 'KIAA0722', 'EC 2.7.11.1']"
ULK2,"['unc-51 like autophagy activating kinase 2', 'KIAA0623', 'Unc-51-like kinase 2', 'ATG1B', 'EC 2.7.11.1']"
ULK3,"['Serine/threonine-protein kinase ULK3', 'DKFZP434C131', 'FLJ90566', 'unc-51-like kinase 3 (C. elegans)', 'EC 2.7.11.1']"
ULK4,"['Serine/threonine-protein kinase ULK4', 'FLJ20574', 'REC01035', 'FAM7C1', 'unc-51-like kinase 4 (C. elegans)', 'EC 2.7.11.1']"
UMAD1,"['UBAP1-MVB12-associated (UMA)-domain containing protein 1', 'RPA3 antisense RNA 1', 'RPA3 opposite strand']"
UMOD,"['Uromodulin', 'uromodulin (uromucoid, Tamm-Horsfall glycoprotein)', 'ADMCKD2', 'HNFJ1', 'uromucoid', 'THGP']"
UMODL1,"['Uromodulin-like 1', 'Olfactorin']"
UMPS,"[""orotidine 5'-phosphate decarboxylase"", ""orotate phosphoribosyl transferase and orotidine-5'-decarboxylase"", 'OPRTase', 'UMP synthase', ""Uridine 5'-monophosphate synthase""]"
UNC119,"['unc-119 lipid binding chaperone', 'HRG4', 'POC7A', 'POC7 centriolar protein homolog A (Chlamydomonas)', 'IMD13', 'POC7 centriolar protein homolog A']"
UNC119B,"['unc-119 lipid binding chaperone B', 'MGC5139', 'POC7B', 'POC7 centriolar protein homolog B (Chlamydomonas)', 'POC7 centriolar protein homolog B']"
UNC13A,"['unc-13 homolog A (C. elegans)', 'KIAA1032', 'unc-13 homolog A']"
UNC13B,"['unc-13 homolog B (C. elegans)', 'unc-13 homolog B', 'homolog of rat Munc13 (diacylglycerol-binding)']"
UNC13C,"['unc-13 homolog C (C. elegans)', 'unc-13 homolog C', 'DKFZp547H074']"
UNC13D,"['unc-13 homolog D (C. elegans)', 'unc-13 homolog D', 'HPLH3']"
UNC45A,"['unc-45 homolog A (C. elegans)', 'SMAP-1', 'general cell UNC45', 'Smooth muscle cell-associated protein 1', 'IRO039700', 'OOHE', 'unc-45 myosin chaperone A']"
UNC45B,"['unc-45 homolog B (C. elegans)', 'unc-45 homolog B', 'cardiomyopathy associated 4', 'CMYA4', 'CTRCT43', 'MFM11', 'striated muscle UNC45', 'unc-45 myosin chaperone B']"
UNC50,"['geal-6 membrane-associated high-copy suppressor 1', 'URP', 'unc-50 related', 'hGMH1', 'unc-50 homolog (C. elegans)', 'HSD23', 'PDLs22', 'unc-50 inner nuclear membrane RNA binding protein']"
UNC5A,"['unc5 (C.elegans homolog) a', 'KIAA1976', 'Protein unc-5 homolog 1', 'unc-5 homolog A (C. elegans)', 'Protein unc-5 homolog A']"
UNC5B,"['transmembrane receptor Unc5H2', 'Protein unc-5 homolog 2', 'P53RDL1', 'unc-5 homolog B (C. elegans)', 'p53-regulated receptor for death and life protein 1']"
UNC5C,"['unc5 (C.elegans homolog) c', 'unc-5 homolog C (C. elegans)', 'Protein unc-5 homolog 3', 'Protein unc-5 homolog C']"
UNC5CL,"['unc-5 homolog C (C. elegans)-like', 'MGC34763', 'ZUD', 'ZU5 and death domain-containing protein', 'MUXA']"
UNC5D,"['unc-5 netrin receptor D', 'KIAA1777', 'Protein unc-5 homolog 4', 'Protein unc-5 homolog D', 'unc-5 homolog D (C. elegans)', 'PRO34692']"
UNC79,"['unc-79 homolog, NALCN channel complex subunit', 'KIAA1409']"
UNC80,"['unc-80 homolog, NALCN channel complex subunit', 'FLJ33496', 'KIAA1843', 'Protein unc-80 homolog', 'C2orf21']"
UNC93A,"['unc-93 homolog A (C. elegans)', 'dJ366N23.1', 'Protein unc-93 homolog A', 'dJ366N23.2 (putative C. elegans UNC-93 (protein 1, C46F11.1) C-terminal LIKE)']"
UNC93B1,"['unc-93 homolog B1, TLR signaling regulator', 'unc93 homolog B1', 'IIAE1', 'unc-93 homolog B1 (C. elegans)', 'Protein unc-93 homolog B1']"
UNCX,"['truncated UNCX homeobox protein', 'Homeobox protein Uncx4.1']"
UNG,"['uracil-DNA glycosylase 1, uracil-DNA glycosylase 2', 'UNG15', 'HIGM4', 'DGU', 'EC 3.2.2.27']"
UNK,"['zinc finger CCCH-type containing 5', 'KIAA1753', 'Zinc finger CCCH domain-containing protein 5', 'RING finger protein unkempt homolog', 'unkempt family zinc finger', 'unkempt homolog (Drosophila)', 'ZC3HDC5']"
UNKL,"['unkempt family like zinc finger', 'ZC3HDC5L', 'FLJ23360', 'chromosome 16 open reading frame 28', 'Zinc finger CCCH domain-containing protein 5-like', 'unkempt homolog (Drosophila)-like', 'C16orf28', 'EC 2.3.2.-']"
UPB1,"['N-carbamoyl-beta-alanine amidohydrolase', 'BUP-1', 'beta-ureidopropionase 1', 'EC 3.5.1.6']"
UPF1,"['UPF1 regulator of nonsense transcripts homolog (yeast)', 'pNORF1', 'KIAA0221', 'smg-2', 'Up-frameshift suppressor 1 homolog', 'smg-2 homolog, nonsense mediated mRNA decay factor (C. elegans)', 'RENT1', 'HUPF1', 'Regulator of nonsense transcripts 1', 'UPF1, RNA helicase and ATPase', 'UPF1 regulator of nonsense transcripts homolog', 'EC 3.6.4.-']"
UPF2,"['smg-3 homolog, nonsense mediated mRNA decay factor (C. elegans)', 'RENT2', 'DKFZP434D222', 'KIAA1408', 'smg-3', 'HUPF2', 'FRS2/UPF2/LEMD3 fusion', 'UPF2 regulator of nonsense transcripts homolog (yeast)', 'UPF2 regulator of nonsense transcripts homolog']"
UPF3A,"['UPF3 regulator of nonsense transcripts homolog A (yeast)', 'RENT3A', 'HUPF3A']"
UPF3B,"['nonfunctional UPF3B regulator of nonsense mediated mRNA decay', 'RENT3B', 'hUpf3p-X', 'UPF3B pseudogene 1', 'MRXS14', 'mental retardation, X-linked 62', 'UPF3 regulator of nonsense transcripts homolog B', 'UPF3 regulator of nonsense transcripts homolog B (yeast)']"
UPK1A,"['Tetraspanin-21', 'Uroplakin-1a', 'Uroplakin Ia']"
UPK1B,"['Tetraspanin-20', 'Uroplakin Ib', 'Uroplakin-1b']"
UPK2,"['Uroplakin II', 'Uroplakin-2', 'MGC138598']"
UPK3A,"['Uroplakin III', 'Uroplakin-3a']"
UPK3B,"['Uroplakin IIIb', 'MGC10902', 'UP3B', 'FLJ32198', 'Uroplakin-3b']"
UPK3BL1,"['Uroplakin-3b-like protein 1', 'UPK3BL', 'uroplakin 3B like 1']"
UPK3BL2,['Uroplakin-3b-like protein 2']
UPP1,"['Uridine phosphorylase 1', 'UrdPase 1', 'UPASE', 'uridine phosphorylase', 'UDRPASE', 'EC 2.4.2.3']"
UPP2,"['liver-specific uridine phosphorylase', 'Uridine phosphorylase 2', 'UrdPase 2', 'EC 2.4.2.3']"
UPRT,"['uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)', 'DKFZp781E1243', 'MGC23937', 'FUR1', 'RP11-311P8.3', 'UPP', 'uracil phosphoribosyltransferase (FUR1) homolog', 'UMP pyrophosphorylase', 'EC 2.4.2.9']"
UQCC1,"['Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog', 'FLJ10850', 'CBP3', 'BFZB', 'Basic FGF-repressed Zic-binding protein', 'cytochrome B protein synthesis 3 homolog (S. cerevisiae)', 'C20orf44', 'UQCC']"
UQCC2,"['Ubiquinol-cytochrome-c reductase complex assembly factor 2', 'MGC14833', 'bA6B20.2', 'MNF1', 'Cbp6', 'cytochrome B protein synthesis 6 homolog (S. cerevisiae)', 'C6orf125', 'Breast cancer-associated protein SGA-81M']"
UQCC3,"['Ubiquinol-cytochrome-c reductase complex assembly factor 3', 'UNQ655', 'chromosome 11 open reading frame 83', 'UPF0723 protein C11orf83', 'CCDS41658.1', 'MC3DN9', 'Assembly factor CBP4 homolog']"
UQCR10,"['ubiquinol-cytochrome c reductase, complex III subunit X, 7.2kDa', 'HSPC051', 'UCCR7.2', 'QCR9']"
UQCR11,"['Ubiquinol-cytochrome c reductase complex 6.4 kDa protein', 'QCR10', 'ubiquinol-cytochrome c reductase, complex III subunit XI', '0710008D09Rik']"
UQCRB,"['ubiquinol-cytochrome c reductase, complex III subunit VI', 'UQCR6', 'MC3DN3', 'Ubiquinol-cytochrome c reductase complex 14 kDa protein']"
UQCRC1,"['Ubiquinol-cytochrome-c reductase complex core protein 1', 'D3S3191', 'UQCR1', 'PKNPY', 'Cytochrome b-c1 complex subunit 1, mitochondrial', 'ubiquinol-cytochrome c reductase core protein 1']"
UQCRC2,"['Ubiquinol-cytochrome-c reductase complex core protein 2', 'UQCR2', 'MC3DN5', 'Cytochrome b-c1 complex subunit 2, mitochondrial', 'ubiquinol-cytochrome c reductase core protein II']"
UQCRFS1,"['ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1', 'RIP1', 'UQCR5', 'MC3DN10', 'Rieske iron-sulfur protein', 'Cytochrome b-c1 complex subunit Rieske, mitochondrial', 'epididymis secretory sperm binding protein', 'EC 1.10.2.2']"
UQCRH,"['ubiquinol-cytochrome c reductase, complex III subunit VIII', 'UQCR8', 'Ubiquinol-cytochrome c reductase complex 11 kDa protein']"
UQCRHL,"['Cytochrome b-c1 complex subunit 6-like, mitochondrial', 'hCG25371']"
UQCRQ,"['Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C', 'UQCR7', 'ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa', 'MC3DN4']"
URAD,"['Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase', 'parahox cluster neighbor', 'EC 4.1.1.97']"
URB1,"['URB1 ribosome biogenesis 1 homolog (S. cerevisiae)', 'KIAA0539', 'NPA1', 'nucleolar preribosomal-associated protein 1', 'C21orf108', 'Nucleolar pre-ribosomal-associated protein 1', 'NOP254']"
URB2,"['URB2 ribosome biogenesis 2 homolog (S. cerevisiae)', 'NPA2', 'NET10', 'KIAA0133']"
URGCP,"['HBV X protein up-regulated gene 4 protein', 'URG4', 'KIAA1507', 'FLJ20654', 'DKFZp686O0457']"
URGCP-MRPS24,"['URGCP-MRPS24 readthrough', 'uncharacterized protein LOC100534592']"
URI1,"['Unconventional prefoldin RPB5 interactor 1', 'RMP', 'Protein NNX3', 'FLJ10575', 'PPP1R19', 'RNA polymerase II subunit 5-mediating protein', 'protein phosphatase 1, regulatory subunit 19', 'C19orf2', 'RPB5-mediating protein']"
URM1,"['ubiquitin related modifier 1 homolog (S. cerevisiae)', 'MGC2668', 'chromosome 9 open reading frame 74', 'C9orf74']"
UROC1,"['Imidazolonepropionate hydrolase', 'FLJ31300', 'HMFN0320', 'urocanase domain containing 1', 'Urocanate hydratase', 'EC 4.2.1.49']"
UROD,"['uroporphyrinogen III decarboxylase', 'URO-D', 'EC 4.1.1.37']"
UROS,"['Uroporphyrinogen-III cosynthase', 'congenital erythropoietic porphyria', 'UROIIIS', 'Hydroxymethylbilane hydrolyase [cyclizing]', 'EC 4.2.1.75']"
USB1,"['U6 snRNA biogenesis phosphodiesterase 1', 'FLJ13154', 'HVSL1', 'Mpn1', 'HVSL motif containing 1', 'mutated in poikiloderma with neutropenia protein 1', 'chromosome 16 open reading frame 57', 'UPF0406 protein C16orf57', 'EC 3.1.4.-']"
USE1,"['unconventional SNARE in the ER 1 homolog (S. cerevisiae)', 'protein p31', 'USE1L', 'MDS032', 'Q-SNARE', 'SNARE-like tail-anchored protein 1 homolog (S. cerevisiae)', 'Vesicle transport protein USE1', 'SNARE-like tail-anchored protein 1 homolog', 'USE1-like protein']"
USF1,"['Major late transcription factor 1', 'UEF', 'MLTFI', 'BHLHB11', 'FCHL1', 'Class B basic helix-loop-helix protein 11']"
USF2,"['upstream transcription factor 2, c-fos interacting', 'BHLHB12', 'Class B basic helix-loop-helix protein 12']"
USF3,"['upstream transcription factor family member 3', 'KIAA2018', 'Basic helix-loop-helix domain-containing protein USF3']"
USH1C,"['USH1 protein network component harmonin', 'PDZ-73/NY-CO-38', 'Harmonin', 'Antigen NY-CO-38/NY-CO-37', 'AIE-75', 'Usher syndrome 1C (autosomal recessive, severe)', 'DFNB18A', 'PDZ-45', 'ush1cpst', 'Renal carcinoma antigen NY-REN-3', 'Autoimmune enteropathy-related antigen AIE-75']"
USH1G,"['Scaffold protein containing ankyrin repeats and SAM domain', 'ANKS4A', 'FLJ33924', 'Usher syndrome 1G (autosomal recessive)']"
USH2A,"['Usherin', 'RP39', 'Usher syndrome 2A (autosomal recessive, mild)', 'USH2', 'dJ1111A8.1']"
USHBP1,"['USH1 protein network component harmonin binding protein 1', 'MCC-2', 'AIEBP', 'FLJ38709']"
USO1,"['USO1 homolog, vesicle docking protein (yeast)', 'VDP', 'P115', 'General vesicular transport factor p115', 'USO1 vesicle docking protein homolog (yeast)']"
USP1,"['Ubiquitin-specific-processing protease 1', 'Ubiquitinyl hydrolase 1, Ubiquitin carboxyl-terminal hydrolase 1, ubiquitin thiolesterase 1', 'hUBP', 'EC 3.4.19.12']"
USP10,"['Ubiquitin-specific-processing protease 10', 'UBPO', 'KIAA0190', 'EC 3.4.19.12']"
USP11,"['ubiquitin carboxyl-terminal hydrolase, X-linked', 'UHX1', 'EC 3.4.19.12']"
USP12,"['Ubiquitin-specific-processing protease 12', 'UBH1', 'USP12L1', 'EC 3.4.19.12']"
USP13,"['ubiquitin specific peptidase 13 (isopeptidase T-3)', 'Isopeptidase T-3', 'EC 3.4.19.12']"
USP14,"['ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)', 'Ubiquitin-specific-processing protease 14', 'EC 3.4.19.12']"
USP15,"['Ubiquitin-specific-processing protease 15', 'KIAA0529', 'UNPH-2', 'EC 3.4.19.12']"
USP16,"['Ubiquitin-specific-processing protease 16', 'UBP-M', 'EC 3.4.19.12']"
USP17L1,"['putative ubiquitin carboxyl-terminal hydrolase 17-like protein 1', 'USP17L1P', 'EC 3.4.19.12']"
USP17L10,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 10', 'EC 3.4.19.12']"
USP17L11,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 11', 'EC 3.4.19.12']"
USP17L12,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 12', 'EC 3.4.19.12']"
USP17L13,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 13', 'EC 3.4.19.12']"
USP17L15,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 15', 'EC 3.4.19.12']"
USP17L17,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 17', 'EC 3.4.19.12']"
USP17L18,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 18', 'EC 3.4.19.12']"
USP17L19,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 19', 'EC 3.4.19.12']"
USP17L2,"['Ubiquitin-specific-processing protease 17-like protein 2', 'DUB-3', 'Ubiquitin carboxyl-terminal hydrolase 17-like protein 2', 'USP17H', 'EC 3.4.19.12']"
USP17L20,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 20', 'EC 3.4.19.12']"
USP17L21,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 21', 'EC 3.4.19.12']"
USP17L22,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 22', 'EC 3.4.19.12']"
USP17L23,['Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 23']
USP17L24,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17L25', 'EC 3.4.19.12']"
USP17L25,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L26,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L27,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L28,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L29,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L3,"['Ubiquitin-specific-processing protease 17-like protein 3', 'USP17B', 'EC 3.4.19.12']"
USP17L30,"['Ubiquitin carboxyl-terminal hydrolase 17-like protein 24', 'USP17H', 'EC 3.4.19.12']"
USP17L4,"['Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4', 'EC 3.1.2.15']"
USP17L5,"['Ubiquitin-specific-processing protease 17-like protein 5', 'EC 3.4.19.12']"
USP17L7,"['Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 7', 'EC 3.1.2.15']"
